
Canola Oil (LEAR),GRAS – Direct food ingredient,21 CFR 184.1 / erucic acid rule,Erucic acid ≤2% total fatty acids,Erucic acid >2% — FDA prohibits for human consumption,LEAR certification required,USDA NBFDS: Canola/Rapeseed IS listed BE crop. Highly refined canola oil: similar to soybean oil — detectable modified material unlikely after refining. Verify per AMS guidance. For Non-GMO claim: IP CoA + PCR test required.,PASS / FAIL
Salt (NaCl),GRAS – Direct food ingredient,21 CFR 182.1(a),Sodium chloride for food use within GMP,Heavy metal contamination above Codex CXS 150,Iodized: must comply with 21 CFR 184.1634/1635,Salt is NOT a biological material — NOT on USDA BE list. No GMO consideration.,PASS / FAIL
Wheat Flour (Enriched),Standard of Identity,21 CFR Part 137,Ash ≤ (protein%/20)+0.35; enrichment per 137.165,Enrichment not present; ash exceeds formula,Enrichment mandatory if labelled 'enriched',Wheat is NOT currently on USDA BE list (no commercially approved BE wheat in US market as of 2026). No NBFDS disclosure required. Monitor: HB4 drought-tolerant wheat may change status.,PASS / FAIL
Natural Flavors,GRAS / FEMA GRAS,21 CFR 101.22,Must derive from natural source only,Synthetic aromatic chemical added; undeclared allergens,Allergen sources in flavor must be declared,May contain BE-derived carrier/solvent (e.g. corn-derived propylene glycol). Requires supplier declaration. NBFDS may apply if BE ingredient present above detectable threshold.,PASS / FAIL
Sucralose,Approved Food Additive,21 CFR 172.831,Assay 98–102% dry; use within approved categories,Use level exceeds category maximum,Category-specific max use levels apply,Sucralose is a synthesized sugar derivative — NOT a BE substance. No NBFDS disclosure required.,PASS / FAIL
"Vitamin Premix (A, C, D, E, B)",GRAS – Nutritive ingredient,21 CFR 182.5 / 184 / 104.20,Each vitamin individually GRAS; potency declared,Non-GRAS vitamin form; potency outside USP range,Mandatory fortification per 21 CFR 104.20,"Carriers/excipients in premix may be BE-derived (corn starch, soy). Require supplier GMO declaration for carrier materials. NBFDS applies to finished food if BE ingredient present.",PASS / FAIL
Pea Protein Isolate,GRAS – Self-affirmed + FDA no-objection,GRAS Notice GRN 851,Protein ≥85% dry; from clean yellow peas,Protein <85%; heavy metals above FCC,Not a major FALCPA allergen,Yellow peas are NOT on USDA BE list. No NBFDS disclosure required. Strong Non-GMO positioning — retain IP CoA and PCR test for marketing claims.,PASS / FAIL
Soy Lecithin,GRAS – Direct food ingredient,21 CFR 184.1400,Acetone insolubles ≥62%; emulsifier within GMP,AI <62%; undeclared soy allergen,Soy allergen declaration mandatory (FALCPA),USDA NBFDS: Soybean IS listed BE crop. Lecithin retains protein/DNA material — BE disclosure REQUIRED unless Non-GMO Project Verified. IP CoA + PCR test required for Non-GMO claim.,PASS / FAIL
Isomaltulose (Palatinose),Approved Food Additive,21 CFR 172 (novel additive approval),Approved low-GI carb; enzymatic conversion from sucrose,Assay <97%; moisture >1.0%,Use in approved food categories only,Derived from sucrose (cane or beet). If beet-derived: apply same sugar beet BE analysis. If cane-derived: not BE listed. Verify source with supplier.,PASS / FAIL
Gellan Gum,Approved Food Additive,21 CFR 172.665,Low-acyl gellan gum; stabiliser at lowest effective level,High-acyl gellan without documentation,Labelled 'gellan gum'; lowest effective level,Gellan gum is produced via microbial fermentation (Sphingomonas elodea). Fermentation substrate may be BE-derived (corn glucose). Require supplier declaration on substrate origin. NBFDS application case-by-case per AMS guidance.,PASS / FAIL
Vitamin C (L-Ascorbic Acid),GRAS – Nutritive ingredient & Antioxidant,"21 CFR 182.8013 (nutritive) /
182.3013 (antioxidant)",L-Ascorbic Acid; assay 99.0–100.5% dry basis (USP); specific rotation −20.5° to −21.5°,D-isoascorbic acid (erythorbic acid) substituted without declaration; assay outside USP range,Used within GMP; no maximum use level for nutritive use; declared as '% DV Vitamin C' per 21 CFR 101.9,Vitamin C (ascorbic acid) is a synthetic molecule — NOT a biological crop. NOT on USDA BE list. No NBFDS disclosure required. Note: Nature Made uses USP Verified Vitamin C — require USP Verification Program certificate or equivalent from supplier.,PASS / FAIL
Cholecalciferol (Vitamin D3),GRAS – Nutritive ingredient,21 CFR 182.5890,Cholecalciferol (D3) from lanolin (ovine) or lichen (vegan); purity ≥98% (USP); declared potency in IU or mcg,Ergocalciferol (D2) supplied when D3 specified; potency outside USP assay range (90–115% of label claim); irradiation not disclosed,Declared as mcg or IU per serving; 1 mcg = 40 IU. Verify source: lanolin (bovine/ovine) or lichen (vegan claim). Must match label claim.,"Cholecalciferol is derived from animal (lanolin) or plant (lichen) sources — NOT a BE crop. NOT on USDA BE list. No NBFDS disclosure required. However, if carrier/diluent is corn starch or soy oil (common in D3 oil preparations): apply BE corn/soy rules to the carrier. Require full ingredient breakdown of D3 oil-based premix.",PASS / FAIL
Tocopherol (Vitamin E — d-alpha),GRAS – Nutritive ingredient & Antioxidant,"21 CFR 182.8890 (nutritive) /
182.3890 (antioxidant)",d-alpha-Tocopherol (natural) ≥96.0% (USP); or d-alpha-Tocopheryl Acetate ≥96.0%. Must be natural form if labelled 'natural Vitamin E'.,dl-alpha-Tocopheryl (synthetic) supplied when natural d-alpha specified — 1.36× potency difference; acid value >2.0 mg KOH/g; peroxide value >10 meq/kg,Natural vs synthetic distinction is regulatory and commercial: label 'd-alpha' = natural (higher potency IU/mg); 'dl-alpha' = synthetic. Nature Made uses natural d-alpha. Specify form on PO.,"Tocopherol is typically derived from soybean oil distillate (most common), sunflower oil, or palm. USDA NBFDS: soy-derived tocopherol — soybean IS a BE-listed crop. Highly refined tocopherol: modified genetic material may not be detectable (similar to soybean oil). Verify per AMS highly refined guidance. For clean-label/Non-GMO: specify sunflower-derived tocopherol + IP CoA. This is Nature Made's direction — sunflower tocopherol is Non-GMO and allergen-free.",PASS / FAIL
"Sunflower Lecithin
(Alt. to Soy Lecithin)",GRAS – Direct food ingredient (emulsifier),"21 CFR 184.1400
(lecithin from any source)",Acetone insolubles ≥62% (FCC/AOCS); from clean sound sunflower seeds; no soy cross-contamination,Acetone insolubles <62%; peroxide value >10 meq/kg; soy protein cross-contamination detected (allergen risk),Lecithin (any plant source) covered under 21 CFR 184.1400. No separate FDA approval needed for sunflower source. Must be labelled 'sunflower lecithin' (not just 'lecithin') if soy-free claim is made.,★ KEY ADVANTAGE OVER SOY LECITHIN: Sunflower is NOT on USDA BE list. No NBFDS disclosure required. No FALCPA soy allergen declaration needed. Clean label — growing consumer preference. Nature Made has shifted to sunflower lecithin in core SKUs. Require IP CoA confirming no cross-contamination with soy during processing (shared equipment). PCR screen for soy protein (ELISA) if soy-free claim is made.,PASS / FAIL
,,,,,,,
GMO COLUMN LEGEND  ·  ORANGE = BE disclosure obligation  ·  GREEN = no BE disclosure required  ·  YELLOW = verify with supplier / check AMS guidance  ·  Source: USDA NBFDS 7 CFR Part 66; AMS Highly Refined Oils Guidance (2022),,,,,,,
